Areaname,land_area
"Pratt, KS",735.79
"Rawlins, KS",1069.79
"Reno, KS",1271.33
"Republic, KS",720.36
"Rice, KS",728.33
"Riley, KS",622.15
"Rooks, KS",895.4
"Rush, KS",718.45
"Russell, KS",899.03
"Saline, KS",721.32
"Scott, KS",717.7
"Sedgwick, KS",1009.48
"Seward, KS",640.55
"Shawnee, KS",556.35
"Sheridan, KS",896.66
"Sherman, KS",1056.08
"Smith, KS",896.56
"Stafford, KS",794.77
"Stanton, KS",680.12
"Stevens, KS",727.78
"Sumner, KS",1184.86
"Thomas, KS",1074.97
"Trego, KS",899.09
"Wabaunsee, KS",799.86
"Wallace, KS",914.12
"Washington, KS",898.88
"Wichita, KS",718.59
"Wilson, KS",575.04
"Woodson, KS",505.5
"Wyandotte, KS",155.7
KENTUCKY,40411.24
"Adair, KY",412.25
"Allen, KY",352.06
"Anderson, KY",204.3
"Ballard, KY",273.62
"Barren, KY",499.95
"Bath, KY",283.96
"Bell, KY",361.36
"Boone, KY",256.98
"Bourbon, KY",291.68
"Boyd, KY",161.83
"Boyle, KY",182.71
"Bracken, KY",208.91
"Breathitt, KY",495.32
"Breckinridge, KY",585.55
"Bullitt, KY",300.21
"Butler, KY",431.54
"Caldwell, KY",348.2
"Calloway, KY",410.81
"Campbell, KY",159.44
"Carlisle, KY",199.03
"Carroll, KY",137.28
"Carter, KY",412.17
"Casey, KY",445.75
"Christian, KY",724.05
"Clark, KY",255.18
"Clay, KY",471.09
"Clinton, KY",205.55
"Crittenden, KY",370.97
"Cumberland, KY",310.87
"Daviess, KY",476.3
"Edmonson, KY",308.03
"Elliott, KY",235.22
"Estill, KY",255.72
"Fayette, KY",285.53
"Fleming, KY",351.49
"Floyd, KY",395.49
"Franklin, KY",212.13
"Fulton, KY",230.56
