City,Population Density (Persons/Square Mile),2016 Population,Land Area (Square Miles)
"Berwyn, Illinois",14258,55748,4
"Bradenton, Florida",3927,55687,14
"Hempstead, New York",15096,55555,4
"Hanford, California",3348,55547,17
"Rocky Mount, North Carolina",1267,55466,44
"Port Arthur, Texas",721,55427,77
"Shoreline, Washington",4741,55333,12
"Kettering, Ohio",2961,55306,19
"Anderson, Indiana",1333,55130,41
"Decatur, Alabama",1026,55072,54
"Gilroy, California",3410,55069,16
"Richland, Washington",1539,54989,36
"Manhattan, Kansas",2931,54983,19
"Highland, California",2929,54939,19
"Paramount, California",11609,54909,5
"Commerce City, Colorado",1600,54869,34
"Huntersville, North Carolina",1384,54839,40
"Euless, Texas",3379,54769,16
"Pocatello, Idaho",1699,54746,32
"Carson City, Nevada",378,54742,145
"Colton, California",3571,54712,15
"Casa Grande, Arizona",497,54534,110
"West Haven, Connecticut",5071,54516,11
"Rosemead, California",10562,54500,5
"Blue Springs, Missouri",2444,54431,22
"Hoboken, New Jersey",42484,54379,1
"Normal, Illinois",2957,54264,18
"Bonita Springs, Florida",1404,54198,39
"Mount Prospect, Illinois",5239,54171,10
"Cathedral City, California",2514,54056,22
"Watsonville, California",8041,53796,7
"Pensacola, Florida",2386,53779,23
"Palm Beach Gardens, Florida",976,53778,55
"Lake Havasu City, Arizona",1210,53743,44
"Elyria, Ohio",2611,53715,21
"Bellevue, Nebraska",3376,53505,16
"Wheaton, Illinois",4746,53389,11
"West New York, New Jersey",52815,53343,1
"Yucaipa, California",1911,53309,28
"Southaven, Mississippi",1290,53214,41
"Albany, Oregon",3034,53211,18
"Revere, Massachusetts",9342,53157,6
"Caldwell, Idaho",2409,53149,22
"Harrisonburg, Virginia",3047,53078,17
"West Sacramento, California",2472,52981,21
"Lenexa, Kansas",1551,52903,34
"Kingsport, Tennessee",1060,52806,50
"Burlington, North Carolina",2094,52709,25
"Delano, California",3686,52707,14
"Leesburg, Virginia",4246,52607,12
